P241	Q705738	Q9212
P1303	Q189490	Q17172850
P106	Q193300	Q2526255
P103	Q2720141	Q5885
P2643	Q1805085	Q23662765
P166	Q24829	Q179808
P2643	Q2302311	Q23622707
P166_P1686	Q311253	Q17008964	Q27973457
P2643	Q558922	Q23334891
P106	Q203804	Q2259451
P106	Q201279	Q3282637
P161	Q635632	Q455842
P166_P1346	Q106819	Q1414504	Q357608
P1340	Q37175	Q17122740
P31	Q154697	Q198
P31	Q356383	Q5
P2643	Q500606	Q23662768
P31	Q1191344	Q23002039
P166	Q44414	Q838121
P451	Q41163	Q234551
P463	Q204685	Q463303
P106	Q229291	Q10800557
P485	Q40874	Q66123709
P2643	Q1026941	Q23622707
P2643	Q736674	Q23622771
P106	Q312878	Q10798782
P106	Q217037	Q578109
P161	Q117396	Q708097
P1346_P1686	Q2665878	Q41422	Q15039861
P31	Q7358	Q28640
P1343	Q12174	Q2657718
P463	Q95089	Q1541947
P166	Q20178	Q159661
P161	Q19570	Q491264
P31	Q617869	Q223703
P1411_P1686	Q706513	Q2665878	Q4926543
P641	Q927916	Q41323
P2643	Q168000	Q23623487
P166	Q295847	Q821717
P31	Q364884	Q5
P166	Q104049	Q880233
P1884	Q26378	Q2367101
P106	Q369292	Q3282637
P161	Q572903	Q180004
P119	Q194280	Q1358639
P161_P453	Q2085	Q272496	Q272496
P161	Q2085	Q673434
P800	Q162959	Q199853
P31	Q3307638	Q5
P725	Q16538	Q44410
P641	Q272223	Q41323
P106	Q50020	Q18814623
P509	Q2165499	Q181754
P106	Q60422	Q10800557
P106	Q13894	Q639669
P1411	Q1168760	Q2925698
P31	Q156199	Q26830017
P725_P453	Q216153	Q310283	Q450675
P279	Q874342	Q289
P2293_P459_P459	Q8277	Q18052462	Q1098876	Q23190853
P106	Q25186	Q33231
P106	Q178348	Q10800557
P106	Q131149	Q18939491
P31	Q314801	Q5
P106	Q81520	Q10798782
P161	Q223887	Q440302
P106	Q152768	Q639669
P106	Q228882	Q10798782
P2643	Q5576249	Q23662426
P166_P1686	Q34012	Q945887	Q1247494
P2643	Q309331	Q23662486
P166	Q41163	Q1131356
P166	Q1545340	Q1044427
P106	Q23728	Q578109
P106	Q372394	Q214917
P1830	Q9682	Q1320376
P161	Q189267	Q509117
P106	Q435312	Q13235160
P106	Q40026	Q3427922
P161	Q223977	Q1066917
P161	Q1248938	Q313522
P161	Q1139311	Q1388853
P21	Q336640	Q6581097
P279	Q2018307	Q191874
P166	Q174311	Q123737
P161	Q23558	Q60493
P106	Q170530	Q3282637
P31	Q49569	Q5
P355	Q950380	Q43380
P106	Q272076	Q6625963
P166_P1346	Q8539	Q3473897	Q295739
P1346_P1686	Q1268927	Q207852	Q280918
P106	Q4612	Q1259917
P101	Q310932	Q941594
P31	Q444341	Q5
P166	Q4500	Q1415017
P69	Q80739	Q7060402
P106	Q210120	Q4610556
P58	Q147235	Q2656047
P106	Q167821	Q6625963
P166	Q7926158	Q1415017
P106	Q55430	Q33999
P166_P1346	Q106819	Q492560	Q422999
P1303	Q272931	Q6607
P1411	Q3577037	Q6952071
P106	Q310012	Q2259451
P166_P1346	Q3577037	Q3123491	Q299194
P166	Q1339951	Q1316544
P161	Q56194	Q231815
P166	Q294583	Q289214
P106	Q194419	Q3282637
P5008	Q7942	Q5460604
P21	Q31225	Q6581097
P1346_P1686	Q41375	Q972585	Q160060
P106	Q244234	Q10798782
P1343	Q52411	Q17378135
P463	Q157808	Q2514863
P1411	Q186219	Q2350896
P463	Q4614	Q128471
P69	Q464425	Q6682369
P161	Q152178	Q230420
P509	Q1365108	Q208414
P106	Q35064	Q492537
P463	Q150851	Q466089
P166	Q3345031	Q3775029
P106	Q154421	Q2259451
P2747	Q1467607	Q23830576
P279	Q1836411	Q41254
P1343	Q5816	Q17329836
P106	Q1075796	Q245068
P166	Q230151	Q1738793
P106	Q193048	Q3282637
P2643	Q1817686	Q23662476
P1303	Q137042	Q6607
P161	Q189267	Q240436
P463	Q616591	Q5275906
P3403	Q1164	Q57156445
P166	Q40912	Q5520192
P106	Q208026	Q4610556
P725	Q8822	Q16199509
P31	Q434272	Q5
P725	Q217679	Q439358
P161	Q378311	Q298672
P31	Q586356	Q618779
P106	Q217298	Q36180
P463	Q79025	Q117467
P166	Q80135	Q403569
P69	Q336185	Q5688765
P106	Q1339527	Q3282637
P106	Q336074	Q10798782
P161	Q2085	Q458784
P1303	Q491252	Q17172850
P161	Q2085	Q1290421
P106	Q315271	Q3282637
P161	Q56194	Q231249
P106	Q460876	Q245068
P101	Q131805	Q5891
P179	Q1542296	Q41254
P106	Q42402	Q40348
P463	Q1349456	Q463303
P106	Q430922	Q3282637
P1411	Q633	Q112243
P106	Q935609	Q3282637
P31	Q485310	Q5
P166	Q238919	Q1131356
P106	Q7489431	Q33999
P2643	Q941524	Q23662485
P119	Q705738	Q7413874
P106	Q377903	Q82955
P1344	Q184387	Q101730
P106	Q85707	Q36834
P26	Q236125	Q231405
P509	Q546204	Q12152
P2512	Q183513	Q212156
P161	Q1345077	Q356541
P69	Q376131	Q1536258
P1884	Q240436	Q2367101
P509	Q457250	Q12152
P106	Q714610	Q2059704
P1303	Q442207	Q17172850
P463	Q1179603	Q7820700
P106	Q309980	Q2259451
P106	Q9570	Q82955
P344	Q201379	Q2176879
P21	Q311655	Q6581097
P106	Q705715	Q488205
P106	Q558143	Q1028181
P101	Q48983	Q11372
P131	Q1552010	Q947115
P106	Q216608	Q36180
P1303	Q704700	Q510487
P106	Q163263	Q3427922
P1303	Q26876	Q6607
P607	Q23559	Q361
P161	Q56194	Q983873
P69	Q2627090	Q632891
P161	Q329131	Q318267
P106	Q103157	Q28389
P106	Q491264	Q10800557
P264	Q155079	Q726251
P2643	Q1346135	Q23334891
P106	Q731187	Q28389
P1411	Q3577037	Q1285504
P31	Q435681	Q5
P509	Q220883	Q12078
P106	Q631369	Q18844224
P161	Q201379	Q284636
P106	Q32522	Q43845
P21	Q515095	Q6581097
P2293_P459_P459	Q181923	Q18047679	Q1098876	Q23190853
P31	Q8728	Q5
P161	Q438406	Q207969
P106	Q410	Q15143191
P161	Q2842976	Q57410
P106	Q356541	Q245068
P106	Q511554	Q10798782
P106	Q381768	Q28389
P31	Q174648	Q5
P106	Q4500	Q1053574
P106	Q508412	Q36180
P21	Q348658	Q6581097
P106	Q42229	Q2259451
P5008	Q5891	Q5460604
P2293_P459_P459	Q12174	Q18031635	Q1098876	Q23190853
P106	Q555236	Q28389
P106	Q37160	Q11774202
P106	Q1384822	Q639669
P31	Q215481	Q5
P509	Q3518444	Q12136
P101	Q529849	Q941594
P509	Q2569995	Q32446
P31	Q139330	Q5
P106	Q44570	Q36834
P161	Q32450	Q1291441
P69	Q213793	Q2565243
P161	Q19570	Q1198897
P264	Q174817	Q778673
P106	Q1660432	Q222344
P1434	Q182212	Q63728626
P463	Q861888	Q19861084
P106	Q3345399	Q2526255
P166	Q104326	Q10855271
P101	Q1545	Q207628
P135	Q183337	Q2855609
P166	Q2383623	Q1415017
P2094	Q186914	Q35554451
P31	Q2238008	Q5
P2293_P459_P459	Q12174	Q18041216	Q1098876	Q23190853
P161	Q223367	Q3076804
P69	Q367155	Q149990
P31	Q193517	Q5
P106	Q238912	Q10800557
P170	Q210311	Q188492
P101	Q184697	Q207628
P69	Q219402	Q168000
P725	Q8822	Q230795
P106	Q698951	Q28389
P69	Q354033	Q1473615
P425	Q3427922	Q11707
P21	Q1146861	Q6581097
P106	Q188375	Q2526255
P106	Q211144	Q948329
P101	Q161877	Q207628
P31	Q314640	Q5
P106	Q233882	Q10798782
P31	Q320264	Q5
P166	Q466502	Q838121
P106	Q229364	Q33999
P26	Q1373377	Q23017963
P166	Q253916	Q1277463
P2643	Q1446181	Q23623483
P355	Q49108	Q5025669
P749	Q128047	Q333886
P166	Q42156	Q908793
P710	Q33143	Q170604
P106	Q217280	Q488205
P106	Q1359405	Q222344
P166_P1686	Q230378	Q7971822	Q463615
P31	Q194266	Q20925702
P31	Q626591	Q23002039
P106	Q403902	Q3282637
P106	Q230184	Q10800557
P69	Q194280	Q1145814
P106	Q336640	Q1415090
P106	Q335672	Q3282637
P1340	Q232910	Q17122705
P264	Q295923	Q183412
P161	Q19570	Q202801
P2936	Q1164	Q33584
P31	Q289678	Q618779
P264	Q202550	Q664167
P106	Q472051	Q488205
P161_P453	Q147235	Q23547	Q50385678
P1343	Q311317	Q2657718
P264	Q184386	Q726251
P106	Q201562	Q486748
P31	Q620640	Q23002039
P412	Q712592	Q27914
P106	Q104340	Q245068
P161	Q56194	Q522493
P31	Q122141	Q4830453
P106	Q441913	Q2259451
P31	Q123174	Q5
P264	Q354033	Q1998195
P69	Q276525	Q389336
P106	Q199927	Q10800557
P2936	Q1191	Q12953532
P106	Q1175691	Q1930187
P161	Q19570	Q726154
P102	Q377903	Q10225
P106	Q295847	Q18814623
P31	Q15978655	Q28640
P21	Q526620	Q6581072
P106	Q194287	Q639669
P69	Q7299451	Q1414326
P412	Q371782	Q30903
P106	Q299282	Q1075651
P106	Q2062658	Q28389
P161	Q19570	Q925567
P106	Q105221	Q245068
P2643	Q810771	Q23622825
P106	Q229535	Q2259451
P69	Q1351511	Q49116
P2643	Q1887879	Q23662765
P2643	Q1472347	Q23622771
P161_P453	Q1538082	Q108941	Q51797
P2643	Q585828	Q23623487
P2094	Q131785	Q35554451
P166	Q95125	Q1415017
P166_P1686	Q8006	Q3405005	Q854990
P106	Q191716	Q2095549
P69	Q677439	Q196544
P749	Q165711	Q21077
P161	Q572903	Q145480
P31	Q413	Q11862829
P1411	Q223367	Q4835655
P21	Q95111	Q6581097
P161	Q19570	Q116636
P106	Q202449	Q2059704
P264	Q1545	Q3038347
P21	Q44279	Q6581097
P161	Q321423	Q516692
P31	Q49204	Q23002054
P641	Q5185866	Q41323
P1343	Q12202	Q2657718
P31	Q158175	Q5
P21	Q7299451	Q6581097
P31	Q158266	Q5
P106	Q234551	Q10800557
P264	Q40912	Q843402
P106	Q355209	Q2259451
P161	Q117396	Q229979
P106	Q838508	Q639669
P106	Q2671438	Q10800557
P31	Q460095	Q5
P2643	Q49114	Q23662486
P106	Q236181	Q36180
P31	Q323467	Q5
P166_P1686	Q542484	Q904344	Q676098
P161	Q117396	Q733691
P463	Q13371	Q4810036
P106	Q311179	Q245068
P2293_P459_P459	Q12214	Q18041864	Q1098876	Q23190853
P69	Q213538	Q2302311
P106	Q190576	Q158852
P106	Q206364	Q3282637
P1346_P1686	Q840286	Q231385	Q627157
P166	Q234360	Q17011862
P31	Q236527	Q5
P161	Q155629	Q14540
P161	Q2085	Q292446
P106	Q229220	Q10800557
P166	Q329744	Q15278101
P106	Q272019	Q10798782
P749	Q634396	Q2495858
P1411	Q244803	Q3045762
P463	Q188668	Q44190
P264	Q312081	Q216364
P2293_P459_P459	Q12174	Q17709656	Q1098876	Q23190853
P161	Q189267	Q1319913
P166	Q448235	Q935843
P2293_P459_P459	Q12174	Q18029821	Q1098876	Q23190853
P31	Q928314	Q18328097
P106	Q1685654	Q1323191
P21	Q298682	Q6581097
P279	Q584301	Q1278335
P1303	Q2720141	Q17172850
P69	Q35610	Q2635089
P161	Q117396	Q298368
P106	Q457497	Q3282637
P161	Q4529	Q459638
P106	Q213512	Q245068
P161	Q168708	Q233022
P106	Q7351	Q158852
P106	Q380856	Q18939491
P106	Q150482	Q948329
P21	Q55221	Q6581097
P31	Q238919	Q5
P106	Q38875	Q10800557
P106	Q205435	Q10798782
P1411	Q101797	Q1257399
P161	Q4529	Q454494
P2643	Q1474100	Q23662765
P1435	Q1797768	Q19558910
P106	Q504720	Q3282637
P106	Q348533	Q578109
P1344	Q212564	Q101730
P2643	Q1939211	Q23662431
P106	Q351479	Q2526255
P2293_P459_P459	Q47912	Q15315135	Q1098876	Q23190853
P26	Q1857066	Q442879
P1343	Q39246	Q2657718
P2643	Q49118	Q23662760
P106	Q722042	Q1344174
P1344	Q172221	Q47735
P69	Q720435	Q4897974
P1411_P1686	Q103946	Q2414252	Q56194
P31	Q1414326	Q380093
P106	Q587361	Q639669
P5008	Q12557	Q5460604
P509	Q311253	Q202837
P106	Q1344063	Q158852
P1303	Q636	Q8355
P166	Q286777	Q1131356
P749	Q81153	Q34433
P106	Q193300	Q3282637
P2643	Q2902978	Q23662432
P2643	Q559549	Q23623476
P106	Q180727	Q1622272
P166_P1686	Q2341602	Q1113428	Q3417213
P106	Q251144	Q158852
P2936	Q1174	Q3309366
P166	Q267088	Q778412
P1411	Q3577037	Q3473898
P1884	Q229775	Q152357
P21	Q349548	Q6581097
P2293_P459_P459	Q12174	Q14881694	Q1098876	Q23190853
P21	Q53001	Q6581097
P161	Q352431	Q18992
P106	Q104791	Q28389
P106	Q1145528	Q10798782
P106	Q310819	Q1930187
P31	Q897052	Q902104
P31	Q119966	Q5
P106	Q298255	Q28389
P264	Q274562	Q5436922
P166	Q392	Q754841
P161	Q321423	Q234983
P1303	Q454088	Q17172850
P106	Q229375	Q10798782
P2936	Q1164	Q12635902
P31	Q1359405	Q5
P106	Q40090	Q2259451
P2643	Q309350	Q23662760
P170	Q19570	Q7346363
P106	Q1086291	Q36834
P509	Q108941	Q12152
P161_P453	Q189267	Q264787	Q18608339
P106	Q458464	Q10798782
P106	Q232511	Q10800557
P106	Q10738	Q1053574
P69	Q515632	Q5149901
P161	Q199853	Q349668
P1411	Q43259	Q617869
P2341	Q5885	Q66743
P31	Q35610	Q5
P800	Q966018	Q2642334
P97	Q40787	Q2618625
P21	Q34436	Q6581072
P69	Q257271	Q49119
P241	Q329700	Q11218
P509	Q105960	Q12152
P725	Q703524	Q242493
P106	Q194220	Q3501317
P69	Q312124	Q610999
P2643	Q1079140	Q23662432
P1411	Q23728	Q3045762
P166	Q51559	Q154590
P279	Q1044427	Q123737
P1303	Q16759	Q17172850
P106	Q188459	Q33999
P166	Q47087	Q12201477
P106	Q299314	Q10800557
P106	Q1146861	Q822146
P106	Q311723	Q2526255
P725	Q8822	Q1334777
P1411_P1686	Q560286	Q2925698	Q192837
P31	Q560108	Q5
P106	Q36949	Q578109
P161_P453	Q207375	Q235503	Q2567177
P1411	Q482907	Q1161109
P166	Q435920	Q838121
P31	Q129279	Q12136
P21	Q117995	Q6581072
P106	Q55408	Q2526255
P101	Q258750	Q207628
P106	Q185165	Q10800557
P106	Q237194	Q28389
P31	Q455743	Q5
P1303	Q6183524	Q46185
P161	Q1030713	Q235503
P2936	Q1164	Q7967085
P1346_P1686	Q549884	Q210059	Q475125
P2293_P459_P459	Q181923	Q18032955	Q1098876	Q23190853
P166_P1686	Q106481	Q2665878	Q2132040
P106	Q234141	Q2526255
P106	Q313788	Q28389
P2643	Q1787152	Q23662479
P166	Q442879	Q5593916
P106	Q188018	Q3665646
P1303	Q356305	Q5994
P1340	Q230278	Q17122834
P166	Q336865	Q833163
P161	Q117396	Q462955
P106	Q596137	Q3282637
P166_P1346	Q106819	Q492578	Q485557
P2643	Q37548	Q23662768
P166	Q1806065	Q1415017
P106	Q434497	Q947873
P106	Q524711	Q245068
P161	Q438406	Q374181
P166_P1346	Q542484	Q5305719	Q1790231
P463	Q930291	Q647039
P1411	Q482907	Q919999
P106	Q455939	Q639669
P2293_P459_P459	Q181257	Q18053535	Q1098876	Q23190853
P2293_P459_P459	Q8277	Q14912019	Q1098876	Q23190853
P463	Q2302311	Q19861084
P412	Q236125	Q37137
P166	Q131725	Q337620
P509	Q273210	Q189588
P31	Q578478	Q28640
P166	Q434272	Q1044427
P26	Q229228	Q345032
P31	Q1929388	Q5
P21	Q316446	Q6581097
P2643	Q49167	Q23662489
P355	Q131252	Q1814982
P166	Q152505	Q27575234
P106	Q334822	Q2259451
P166	Q834338	Q37049
P1411_P1686	Q106685	Q174673	Q938510
P166_P1346	Q3577037	Q7243507	Q921216
P166	Q203871	Q179191
P161	Q117396	Q300479
P31	Q1552010	Q3918
P1303	Q9570	Q17172850
P166	Q180962	Q5370843
P106	Q15079	Q36180
P1343	Q81982	Q2657718
P161	Q155629	Q473189
P166_P1686	Q191755	Q775091	Q1345409
P1303	Q221155	Q17172850
P2293_P459_P459	Q12174	Q18034882	Q1098876	Q23190853
P161	Q1002100	Q3246763
P463	Q336264	Q35677307
P451	Q229784	Q379461
P106	Q336018	Q3282637
P1411	Q482907	Q6314074
P106	Q193146	Q10798782
P106	Q299302	Q2259451
P1303	Q213521	Q17172850
P2643	Q1411222	Q23662489
P106	Q40026	Q36180
P26	Q107130	Q158558
P31	Q1382548	Q5
P725	Q164417	Q37175
P166	Q355300	Q1044427
P463	Q1411222	Q5059850
P162	Q645597	Q383528
P2643	Q1509333	Q23662416
P106	Q2152459	Q33999
P161	Q4101775	Q283317
P166	Q106685	Q268670
P106	Q720435	Q3282637
P106	Q380237	Q3282637
P106	Q1086861	Q245068
P21	Q4617	Q6581097
P21	Q311744	Q6581097
P53	Q83396	Q129462
P1411_P1686	Q482907	Q428808	Q2574224
P1303	Q549981	Q5994
P106	Q213793	Q36834
P106	Q655207	Q28389
P31	Q343463	Q5
P106	Q309980	Q10800557
P463	Q645663	Q19861084
P106	Q215359	Q15981151
P106	Q4960	Q43845
P161	Q182212	Q181900
P1303	Q258750	Q6607
P1346_P1686	Q1268927	Q181413	Q830430
P106	Q311453	Q28389
P641	Q1153176	Q41323
P161	Q199853	Q311068
P106	Q224026	Q2526255
P31	Q312531	Q5
P2643	Q1797817	Q23662428
P106	Q356086	Q10800557
P1346_P1686	Q2090893	Q130779	Q21558225
P106	Q379157	Q82955
P1303	Q36301	Q17172850
P166	Q713066	Q1044427
P750	Q186219	Q1156642
P2936	Q1191	Q14916877
P2643	Q1068072	Q23623483
P1411	Q1168760	Q1255198
P161	Q381731	Q983229
P106	Q4960	Q3282637
P1889	Q1186	Q57156475
P463	Q49213	Q5059850
P69	Q228650	Q1179603
P166	Q612167	Q933084
P2643	Q248970	Q23662426
P725	Q16538	Q16296
P1344	Q850290	Q193740
P106	Q7351	Q639669
P641	Q170587	Q134211
P264	Q182665	Q664167
P21	Q42156	Q6581097
P31	Q7401829	Q20925702
P1303	Q202550	Q187851
P2936	Q1193	Q6927748
P106	Q128799	Q4610556
P106	Q1086861	Q2259451
P1411	Q886	Q7669624
P69	Q108597	Q638859
P161	Q2842976	Q467563
P106	Q190998	Q18814623
P161	Q321423	Q22662766
P2293_P459_P459	Q16501	Q18035394	Q1098876	Q23190853
P26	Q192052	Q230015
P463	Q1136919	Q4810036
P1303	Q5112078	Q17172850
P2293_P459_P459	Q12152	Q18053521	Q1098876	Q23190853
P166	Q4992236	Q1415017
P112	Q3444679	Q8006096
P31	Q4809486	Q618779
P106	Q944638	Q11481802
P264	Q157256	Q183412
P106	Q362353	Q7042855
P166	Q7251	Q123885
P31	Q1682329	Q1620945
P106	Q241646	Q10800557
P31	Q3121493	Q23002054
P1303	Q299282	Q17172850
P31	Q840286	Q618779
P161	Q56194	Q299483
P749	Q726251	Q21077
P1411_P1686	Q208590	Q4835657	Q7742499
P106	Q23559	Q1930187
P106	Q504805	Q28389
P31	Q1536258	Q23002054
P2643	Q1475020	Q23662478
P31	Q267088	Q5
P161	Q23558	Q2350967
P1346_P1686	Q847054	Q201562	Q15087926
P2643	Q131252	Q23662486
P166	Q3807701	Q1179189
P161	Q244803	Q728496
P4132	Q9035	Q178435
P106	Q185122	Q728711
P106	Q313522	Q10798782
P31	Q977915	Q40237
P1830	Q622664	Q6337596
P2936	Q1185	Q3309366
P2643	Q785357	Q23622825
P509	Q7251	Q883082
P106	Q264699	Q10798782
P106	Q528663	Q12377274
P106	Q51559	Q3282637
P279	Q52954	Q34379
P161	Q438406	Q93421
P2643	Q622137	Q23662432
P106	Q193710	Q33999
P1411_P1686	Q41422	Q2544859	Q2300341
P31	Q3025883	Q12136
P31	Q1713151	Q5
P106	Q5608	Q33999
P1303	Q320264	Q17172850
P166	Q150651	Q1326340
P106	Q449658	Q19723482
P31	Q666128	Q23002039
P1411	Q1071958	Q2350896
P166	Q158861	Q94145
P1411	Q8539	Q7669613
P463	Q579611	Q5275906
P166	Q104027	Q1011547
P21	Q381203	Q6581097
P725	Q804429	Q418736
P1303	Q378858	Q17172850
P264	Q171905	Q1780995
P161_P453	Q147235	Q220949	Q50385669
P161	Q168708	Q3161136
P21	Q587741	Q6581097
P106	Q294531	Q639669
P106	Q457269	Q33999
P463	Q1111640	Q647039
P1343	Q1062400	Q2657718
P1346_P1686	Q708830	Q16204354	Q17001721
P106	Q188375	Q2259451
P21	Q318509	Q6581097
P2293_P459_P459	Q206901	Q17826316	Q1098876	Q23190853
P161	Q244803	Q63304
P641	Q193753	Q41323
P31	Q1323594	Q4830453
P1343	Q352460	Q58488719
P69	Q229228	Q49114
P166_P1346	Q117396	Q7243502	Q6834453
P463	Q515095	Q1938003
P106	Q185610	Q974144
P106	Q371786	Q10800557
P1303	Q920983	Q52954
P2936	Q1445	Q33673
P161	Q4529	Q549562
P106	Q29086	Q3282637
P166	Q53001	Q727328
P106	Q34460	Q28389
P2293_P459_P459	Q12174	Q18046582	Q1098876	Q23190853
P106	Q15873	Q486748
P5008	Q12206	Q5460604
P166_P1686	Q467519	Q1441539	Q4738384
P108_P106_P101	Q36184	Q742767	Q738142	Q11771944
P1411	Q347461	Q549884
P161	Q1569216	Q131332
P106	Q53651	Q3282637
P106	Q834338	Q33999
P106	Q282722	Q639669
P170	Q16538	Q44410
P463	Q42156	Q161806
P166	Q106685	Q791135
P1303	Q460688	Q17172850
P161	Q498906	Q311263
P509	Q95002	Q11868838
P31	Q824192	Q1358344
P166_P1686	Q311253	Q188914	Q745250
P106	Q435271	Q10800557
P1830	Q165557	Q952566
P1411	Q1030713	Q5243451
P106	Q2599	Q1028181
P31	Q190519	Q5
P47	Q1164	Q1193
P31	Q11030	Q268592
P2293_P459_P459	Q12174	Q18042664	Q1098876	Q23190853
P1346_P1686	Q266012	Q316610	Q1505793
P106	Q207676	Q28389
P1344	Q212564	Q170645
P166_P1686	Q217110	Q255032	Q816016
P1303	Q299208	Q1463985
P264	Q103774	Q1516254
P21	Q40087	Q6581097
P106	Q217787	Q639669
P166	Q229766	Q123737
P31	Q2364867	Q5
P69	Q191716	Q4614
P161	Q438406	Q32335
P161	Q160060	Q1242707
P750	Q1325828	Q1323594
P2643	Q1473615	Q23662487
P2293_P459_P459	Q11081	Q18042877	Q1098876	Q23190853
P1343	Q7302	Q17378135
P106	Q4491	Q15077007
P106	Q670417	Q2629392
P106	Q315099	Q10800557
P108_P39	Q156193	Q202660	Q121594
P463	Q34433	Q35677307
P1303	Q703767	Q8377
P106	Q238924	Q28389
P361	Q192936	Q2306
P1411_P1686	Q234679	Q5412594	Q1445893
P2643	Q1346110	Q23622825
P2643	Q586735	Q23662431
P106	Q4129653	Q10798782
P166	Q156193	Q1531033
P106	Q724804	Q948329
P21	Q43293	Q6581097
P2643	Q1623314	Q23662765
P106	Q167696	Q488205
P161	Q23558	Q360663
P69	Q1378118	Q15142
P106	Q320218	Q19204627
P2643	Q49108	Q23622831
P166	Q230035	Q56085709
P161	Q223977	Q1120939
P106	Q236875	Q10798782
P21	Q2475741	Q6581097
P355	Q9212	Q1328562
P106	Q47426	Q2732142
P2643	Q1706859	Q23622825
P264	Q311655	Q7493975
P166_P1686	Q11617	Q19858107	Q478739
P161	Q19570	Q127036
P69	Q15880	Q1345942
P166	Q104027	Q174389
P166	Q43044	Q1131356
P31	Q34433	Q5420001
P31	Q439315	Q5
P1343	Q43934	Q2657718
P31	Q2437145	Q5
P106	Q177311	Q28389
P31	Q628099	Q4164871
P161	Q912437	Q105825
P463	Q1146861	Q463303
P264	Q312559	Q770103
P161	Q244803	Q271626
P106	Q43322	Q33999
P161	Q19570	Q234120
P106	Q216221	Q3282637
P106	Q313727	Q2259451
P21	Q264840	Q6581072
P725	Q179503	Q193212
P2936	Q1186	Q16886762
P1346_P1686	Q1413741	Q676094	Q619374
P106	Q4617	Q488205
P21	Q47087	Q6581097
P607	Q11218	Q2001082
P106	Q356129	Q3282637
P1411	Q244803	Q596294
P53	Q165557	Q3065295
P1303	Q234137	Q17172850
P21	Q1333848	Q6581097
P463	Q1132346	Q5275906
P509	Q108597	Q181754
P106	Q218503	Q36180
P1303	Q317516	Q6607
P2643	Q1068072	Q23334765
P355	Q21077	Q202440
P710	Q80330	Q44279
P106	Q57147	Q3282637
P1303	Q311382	Q17172850
P1346_P1686	Q257235	Q210120	Q71960
P161	Q515621	Q919870
P106	Q442207	Q36834
P2293_P459_P459	Q206901	Q18050033	Q1098876	Q23190853
P106	Q185465	Q2490358
P166	Q3121114	Q37049
P106	Q314424	Q10800557
P106	Q984115	Q3922505
P106	Q230378	Q10798782
P69	Q254205	Q190080
P31	Q178848	Q23002054
P106	Q51511	Q7042855
P106	Q220536	Q10800557
P106	Q1333848	Q20870256
P166	Q185165	Q4824396
P161	Q212156	Q5357354
P161_P453	Q103569	Q223091	Q133393
P2936	Q1164	Q5061915
P161	Q244803	Q31970
P106	Q6722	Q2732142
P264	Q5105	Q4352944
P106	Q95043	Q948329
P1344	Q130582	Q47735
P1303	Q235216	Q17172850
P463	Q1075148	Q5275906
P106	Q4960	Q131524
P463	Q131805	Q466089
P1303	Q282722	Q212483
P106	Q381477	Q822146
P2293_P459_P459	Q188874	Q17914420	Q1098876	Q23190853
P31	Q556098	Q3918
P2293_P459_P459	Q12174	Q18031117	Q1098876	Q23190853
P106	Q376131	Q36834
P166	Q229784	Q105447
P106	Q15873	Q752129
P166_P1686	Q229313	Q1011547	Q463085
P2643	Q1378320	Q23662734
P106	Q943028	Q3282637
P106	Q5879	Q3606216
P31	Q505353	Q5
P2293_P459_P459	Q12174	Q14906427	Q1098876	Q23190853
P106	Q489831	Q8246794
P166_P1686	Q1373377	Q1113428	Q1645003
P725_P453	Q35951	Q310283	Q3707126
P106	Q2460693	Q28389
P161	Q2121056	Q1066454
P106	Q183337	Q28389
P31	Q314831	Q5
P106	Q449863	Q10800557
P1050	Q264748	Q8277
P106	Q296524	Q10798782
P2293_P459_P459	Q202387	Q18044722	Q1098876	Q23190853
P412	Q834621	Q27914
P106	Q492327	Q10798782
P31	Q2329	Q11862829
P31	Q733498	Q21191019
P21	Q35155	Q6581097
P1346_P1686	Q2529789	Q23403	Q152178
P1346_P1686	Q4220900	Q42229	Q751769
P106	Q386053	Q2259451
P161	Q223977	Q458652
P31	Q670296	Q5
P463	Q2503809	Q19861084
P106	Q14539	Q245068
P509	Q725507	Q202837
P463	Q7604	Q191583
P1411	Q1048856	Q1285970
P106	Q1384181	Q2259451
P2643	Q670897	Q23662433
P509	Q188936	Q12192
P2643	Q1854488	Q23662431
P106	Q703484	Q8246794
P31	Q1927705	Q23002054
P106	Q107069	Q578109
P725	Q8822	Q18992
P106	Q560286	Q245068
P1411_P1686	Q230378	Q1075354	Q463615
P69	Q677439	Q665105
P2293_P459_P459	Q128581	Q18041257	Q1098876	Q23190853
P106	Q315087	Q36180
P1830	Q3884	Q5271745
P166	Q294912	Q1899850
P21	Q81520	Q6581097
P161	Q168708	Q267914
P463	Q392	Q414110
P166	Q636303	Q566905
P166	Q377789	Q2167384
P31	Q273136	Q5
P106	Q528527	Q2259451
P750	Q438406	Q2737435
P264	Q127330	Q656752
P161	Q23558	Q229394
P69	Q217573	Q503415
P279	Q3405814	Q378427
P5008	Q9585	Q5460604
P31	Q4570781	Q23002039
P166	Q3111264	Q932650
P264	Q4070	Q277626
P106	Q50020	Q27532437
P2643	Q664881	Q23662734
P2293_P459_P459	Q12174	Q18033774	Q1098876	Q23190853
P279	Q223591	Q2300099
P106	Q214601	Q10800557
P725	Q210311	Q112536
P31	Q362500	Q5
P106	Q1251736	Q19204627
P106	Q336185	Q28389
P166	Q2341602	Q30132541
P3095	Q6989196	Q158852
